species,total_transitions,shifted_transitions,stationary_transitions,pct_shifted,unique_source_cells,unique_target_cells,unique_months,unique_seasons
Ophiochiton ambulator,3,3,0,100.0,2,2,2,1
Babylonia spirata,2,2,0,100.0,2,1,1,1
Thalassionema frauenfeldii,2,2,0,100.0,2,1,1,1
Calappa exanthematosa,2,1,1,50.0,1,2,1,1
Skeletonema costatum,2,2,0,100.0,1,2,1,1
Rhizosolenia hyalina,2,2,0,100.0,1,2,1,1
Chaunax apus,2,2,0,100.0,1,2,1,1
Phyllacanthus forcipulatus,2,2,0,100.0,2,1,1,1
Proboscia alata,2,2,0,100.0,2,1,1,1
Pseudoceros galatheensis,2,1,1,50.0,2,1,1,1
Pseudoceros duplicinctus,2,1,1,50.0,2,1,1,1
Protoperidinium oceanicum,2,2,0,100.0,1,2,1,1
Pseudo-nitzschia seriata,2,2,0,100.0,1,2,1,1
Prorocentrum lima,2,2,0,100.0,1,2,1,1
Dinophysis miles,2,2,0,100.0,2,1,1,1
Codonella nationalis,2,1,1,50.0,2,1,1,1
Cistopus sp.,2,2,0,100.0,2,1,1,1
Chaetoceros decipiens,2,2,0,100.0,1,2,1,1
Coscinodiscus centralis,2,2,0,100.0,2,1,1,1
Pyrophacus steinii,2,2,0,100.0,1,2,1,1
Quollastria gonypetes,2,2,0,100.0,2,1,1,1
Gonyaulax polygramma,2,2,0,100.0,1,2,1,1
Guinardia flaccida,2,2,0,100.0,1,2,1,1
Navicula directa,2,2,0,100.0,1,2,1,1
Nitzschia longissima,2,2,0,100.0,1,2,1,1
Nitzschia pungens,2,2,0,100.0,1,2,1,1
Octopus sp.,2,2,0,100.0,1,2,1,1
Ophiacantha dallasii,2,2,0,100.0,1,2,1,1
Octactis octonaria,2,2,0,100.0,2,1,1,1
Haslea wawrikae,2,2,0,100.0,1,2,1,1
Hemiaulus sinensis,2,2,0,100.0,2,1,1,1
Peltodoris murrea,2,1,1,50.0,2,1,1,1
Mene maculata,2,2,0,100.0,1,2,1,1
Monomia,2,2,0,100.0,2,1,1,1
Tintinnopsis mortensenii,2,2,0,100.0,2,1,1,1
Thyone dura,2,2,0,100.0,1,2,1,1
Tintinnopsis beroidea,2,2,0,100.0,1,2,1,1
Amphisolenia bidentata,2,2,0,100.0,1,2,1,1
Amphipholis misera,2,2,0,100.0,2,1,1,1
Alpheus sp.,1,1,0,100.0,1,1,1,1
Amphiodia frigida,1,0,1,0.0,1,1,1,1
Amphiura (Amphiura) ambigua,1,1,0,100.0,1,1,1,1
Ancistrocheirus lesueurii,1,1,0,100.0,1,1,1,1
Aquilonastra burtoni,1,1,0,100.0,1,1,1,1
Arcania cornuta,1,1,0,100.0,1,1,1,1
Astronesthes martensii,1,0,1,0.0,1,1,1,1
Tintinnopsis directa,1,1,0,100.0,1,1,1,1
Trapezionida latior,1,1,0,100.0,1,1,1,1
Undella dialata,1,1,0,100.0,1,1,1,1
Uroptychus sampadae,1,0,1,0.0,1,1,1,1
Lauridromia dehaani,1,1,0,100.0,1,1,1,1
Lophiodes mutilus,1,1,0,100.0,1,1,1,1
Lophiomus setigerus,1,1,0,100.0,1,1,1,1
Lophoides lugubris,1,0,1,0.0,1,1,1,1
Lyphira perplexa,1,1,0,100.0,1,1,1,1
Lysirude channeri,1,1,0,100.0,1,1,1,1
Maretia planulata,1,1,0,100.0,1,1,1,1
Metapenaeopsis coniger,1,1,0,100.0,1,1,1,1
Molpadia musculus,1,1,0,100.0,1,1,1,1
Munidopsis levis,1,0,1,0.0,1,1,1,1
Munidopsis scobina,1,1,0,100.0,1,1,1,1
Munidopsis stylirostris,1,0,1,0.0,1,1,1,1
Munidopsis trifida,1,0,1,0.0,1,1,1,1
Muraenesox cinereus,1,1,0,100.0,1,1,1,1
Neolithodes indicus,1,1,0,100.0,1,1,1,1
Neotrygon kuhlii,1,1,0,100.0,1,1,1,1
Nephropsis sulcata,1,1,0,100.0,1,1,1,1
Histampica duplicata,1,1,0,100.0,1,1,1,1
Histioteuthis miranda,1,1,0,100.0,1,1,1,1
Histioteuthis reversa,1,1,0,100.0,1,1,1,1
Hyalinoecia tubicola,1,1,0,100.0,1,1,1,1
Hydatina velum,1,0,1,0.0,1,1,1,1
Ichthyococcus parini,1,1,0,100.0,1,1,1,1
Iphione muricata,1,1,0,100.0,1,1,1,1
Kasagia sudhakari,1,0,1,0.0,1,1,1,1
Notosceles serratifrons,1,1,0,100.0,1,1,1,1
Ochetostoma septemyotum,1,1,0,100.0,1,1,1,1
Onchnesoma steenstrupii steenstrupii,1,0,1,0.0,1,1,1,1
Onychoteuthis banksii,1,1,0,100.0,1,1,1,1
Ophioconis cupida,1,1,0,100.0,1,1,1,1
Ophiomoeris tenera,1,1,0,100.0,1,1,1,1
Ophiopsila pantherina,1,1,0,100.0,1,1,1,1
Ophiothrix (Acanthophiothrix) purpurea,1,1,0,100.0,1,1,1,1
Fromia milleporella,1,0,1,0.0,1,1,1,1
Gaudichaudius cimex,1,0,1,0.0,1,1,1,1
Glycera lancadivae,1,1,0,100.0,1,1,1,1
Glycera tesselata,1,1,0,100.0,1,1,1,1
Halgerda tessellata,1,0,1,0.0,1,1,1,1
Halicmetus ruber,1,1,0,100.0,1,1,1,1
Halieutaea coccinea,1,1,0,100.0,1,1,1,1
Hemiaulus hauckii,1,1,0,100.0,1,1,1,1
Ornithoteuthis volatilis,1,1,0,100.0,1,1,1,1
Paromolopsis boasi,1,1,0,100.0,1,1,1,1
Pempheris mangula,1,1,0,100.0,1,1,1,1
Petrolisthes coccineus,1,0,1,0.0,1,1,1,1
Petrolisthes lamarckii,1,1,0,100.0,1,1,1,1
Petrolisthes militaris,1,1,0,100.0,1,1,1,1
Petrolisthes moluccensis,1,0,1,0.0,1,1,1,1
Petrolisthes tomentosus,1,0,1,0.0,1,1,1,1
Phestilla lugubris,1,0,1,0.0,1,1,1,1
Pholoe glabra,1,1,0,100.0,1,1,1,1
Phyllidia marindica,1,0,1,0.0,1,1,1,1
Phyllidiella rosans,1,1,0,100.0,1,1,1,1
Phyllidiella zeylanica,1,1,0,100.0,1,1,1,1
Phyllidiopsis phiphiensis,1,0,1,0.0,1,1,1,1
Pisodonophis cancrivorus,1,1,0,100.0,1,1,1,1
Pleurobranchus forskalii,1,0,1,0.0,1,1,1,1
Pleurosigma normanii,1,1,0,100.0,1,1,1,1
Plotosus lineatus,1,1,0,100.0,1,1,1,1
Polycheles typhlops,1,0,1,0.0,1,1,1,1
Polyipnus limatulus,1,0,1,0.0,1,1,1,1
Portunus sanguinolentus,1,1,0,100.0,1,1,1,1
Dichrometra palmata,1,0,1,0.0,1,1,1,1
Dissodinium pseudolunula,1,1,0,100.0,1,1,1,1
Ditylum brightwellii,1,1,0,100.0,1,1,1,1
Doclea muricata,1,1,0,100.0,1,1,1,1
Dolabrifera dolabrifera,1,0,1,0.0,1,1,1,1
Drepane punctata,1,1,0,100.0,1,1,1,1
Echinothrix calamaris,1,1,0,100.0,1,1,1,1
Epinephelus coioides,1,1,0,100.0,1,1,1,1
Epinephelus diacanthus,1,1,0,100.0,1,1,1,1
Epinephelus erythrurus,1,1,0,100.0,1,1,1,1
Erythrocles schlegelii,1,0,1,0.0,1,1,1,1
Ethusina gracilipes,1,0,1,0.0,1,1,1,1
Psalidopus huxleyi,1,0,1,0.0,1,1,1,1
Pseudo-nitzschia pseudodelicatissima,1,1,0,100.0,1,1,1,1
Pseudobiceros hancockanus,1,0,1,0.0,1,1,1,1
Pseudobiceros stellae,1,1,0,100.0,1,1,1,1
Pseudoceros bolool,1,0,1,0.0,1,1,1,1
Pseudoceros indicus,1,1,0,100.0,1,1,1,1
Puerulus sewelli,1,1,0,100.0,1,1,1,1
Comanthus wahlbergii,1,0,1,0.0,1,1,1,1
Comaster schlegelii,1,1,0,100.0,1,1,1,1
Crocydocinus saravananei,1,0,1,0.0,1,1,1,1
Dactyliosolen fragilissimus,1,1,0,100.0,1,1,1,1
Dadayiella ganymedes,1,1,0,100.0,1,1,1,1
Diadema savignyi,1,0,1,0.0,1,1,1,1
Chaetoceros convolutus,1,1,0,100.0,1,1,1,1
Chaetoceros curvisetus,1,1,0,100.0,1,1,1,1
Chaetoceros laciniosus,1,1,0,100.0,1,1,1,1
Charybdis (Charybdis) goaensis,1,0,1,0.0,1,1,1,1
Charybdis (Charybdis) variegata,1,0,1,0.0,1,1,1,1
Chaunax multilepis,1,1,0,100.0,1,1,1,1
Chelidoperca investigatoris,1,0,1,0.0,1,1,1,1
Cirrhitichthys sp,1,1,0,100.0,1,1,1,1
Samadinia riversandersoni,1,0,1,0.0,1,1,1,1
Brissopsis luzonica,1,1,0,100.0,1,1,1,1
Bulaceros newcannorum,1,0,1,0.0,1,1,1,1
Caesio cuning,1,0,1,0.0,1,1,1,1
Calappa guerini,1,1,0,100.0,1,1,1,1
Carcinoplax indica,1,1,0,100.0,1,1,1,1
Ceratium declinatum,1,1,0,100.0,1,1,1,1
Ceratium extensum,1,1,0,100.0,1,1,1,1
Ceratium kofoidii,1,1,0,100.0,1,1,1,1
Ceratium macroceros,1,1,0,100.0,1,1,1,1
Ceratium pentagonum,1,1,0,100.0,1,1,1,1
Ceratium trichoceros,1,1,0,100.0,1,1,1,1
Ceratium tripos,1,1,0,100.0,1,1,1,1
Satyrichthys laticeps,1,0,1,0.0,1,1,1,1
Scolopsis igcarensis,1,1,0,100.0,1,1,1,1
Scylla olivacea,1,0,1,0.0,1,1,1,1
Sidonaster vaneyi,1,0,1,0.0,1,1,1,1
Solenocera hextii,1,1,0,100.0,1,1,1,1
Squilloides leptosquilla,1,0,1,0.0,1,1,1,1
Stereocidaris alcocki,1,0,1,0.0,1,1,1,1
Bacteriastrum hyalinum,1,1,0,100.0,1,1,1,1
Bathophilus novicki,1,1,0,100.0,1,1,1,1
Bathophilus proximus,1,1,0,100.0,1,1,1,1
Bathysphyraenops sp.,1,1,0,100.0,1,1,1,1
Biddulphia sinensis,1,1,0,100.0,1,1,1,1
Bleekeria murtii,1,0,1,0.0,1,1,1,1
Bornella stellifer,1,1,0,100.0,1,1,1,1
Breviturma dentata,1,0,1,0.0,1,1,1,1
Brisinga insularum,1,1,0,100.0,1,1,1,1
Sternoptyx obscura,1,1,0,100.0,1,1,1,1
Stolus buccalis,1,1,0,100.0,1,1,1,1
Stylocheilus striatus,1,0,1,0.0,1,1,1,1
Syllis cornuta,1,1,0,100.0,1,1,1,1
Teliocrinus springeri,1,0,1,0.0,1,1,1,1
Temnopleurus toreumaticus,1,0,1,0.0,1,1,1,1
Terapon jarbua,1,1,0,100.0,1,1,1,1
Thais lacera,1,1,0,100.0,1,1,1,1
Thalassiosira subtilis,1,1,0,100.0,1,1,1,1
Acanthopagrus berda,1,1,0,100.0,1,1,1,1
