YEAR,MONTH,FISHING_GROUND_CODE,FLEET,FISHERY,GEAR,SPECIES,FISHING_DAYS,CATCH
2024,2,5108069,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,8.0
2024,2,5108084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,6.5
2024,2,5108085,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,239.0,0.1
2024,2,5108085,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,239.0,0.1
2024,2,5108085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,119.0,2.1
2024,2,5108085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian mackerel,119.0,2.5
2024,2,5108085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,119.0,0.4
2024,2,5108085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,119.0,13.4
2024,2,5108086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,0.5
2024,2,5108087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,3.4
2024,2,5108088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,1.9
2024,2,5109084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,99.0,25.0
2024,2,5109085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,178.0,14.1
2024,2,5109085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,178.0,0.1
2024,2,5109085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,178.0,28.0
2024,2,5109086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,40.0,0.1
2024,2,5109086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Common dolphinfish,40.0,0.1
2024,2,5109086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,40.0,0.5
2024,2,5109086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,2.5
2024,2,5109087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,0.2
2024,2,5109088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,10.0
2024,2,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Common dolphinfish,20504.0,370.0
2024,2,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Whitecheek shark,20504.0,1.0
2024,2,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Spottail shark,20504.0,2.0
2024,2,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Silky shark,20504.0,4.0
2024,2,5110055,I. R. Iran,Gillnet,Gillnet (offshore),Milk shark,20504.0,5.0
2024,2,5110068,Sri Lanka,Purse seine | Other,Ringnet (offshore),Blue shark,20.0,4.0
2024,2,5110084,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,43.0,0.1
2024,2,5110084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,99.0,3.0
2024,2,5110084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,99.0,21.7
2024,2,5110085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,158.0,2.3
2024,2,5110085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,158.0,31.1
2024,2,5110086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,4.0
2024,2,5110088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,0.5
2024,2,5111084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,2.0
2024,2,5111085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,12.7
2024,2,5112084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,20.0
2024,2,5112085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,3.5
2024,2,5113086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,6.5
2024,2,5113087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,6.5
2024,2,5113088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,1.0
2024,2,5114085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,20.0,0.8
2024,2,5114085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,2.5
2024,2,5114086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,6.5
2024,2,5114087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,6.5
2024,2,5115086,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,0.5
2024,2,5200097,Indonesia,Purse seine | LS,Small purse seine,Dogtooth tuna,36.0,0.8
2024,2,5201078,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,22.0,0.2
2024,2,5202078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,20.0,1.0
2024,2,5202078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,2.0
2024,2,5203078,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,43.0,0.5
2024,2,5204076,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,43.0,0.3
2024,2,5204077,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,43.0,0.4
2024,2,5204077,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,43.0,0.1
2024,2,5204078,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,22.0,0.8
2024,2,5204078,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,22.0,0.6
