,Malabar Upwelling Shelf,Central Arabian Sea Offshore Basin,North Arabian Sea / Gujarat Shelf,Lakshadweep Sea & Ridge,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,South-Eastern Arabian Sea EEZ
Malabar Upwelling Shelf,0.7049,0.0512,0.0289,0.0418,0.1046,0.0534,0.0152
Central Arabian Sea Offshore Basin,0.0187,0.623,0.2,0.0086,0.0,0.0101,0.1396
North Arabian Sea / Gujarat Shelf,0.0748,0.2245,0.5204,0.0102,0.0034,0.1463,0.0204
Lakshadweep Sea & Ridge,0.18,0.024,0.016,0.74,0.036,0.004,0.0
Wadge Bank / Comorin Sector,0.5635,0.0,0.004,0.0397,0.3532,0.0397,0.0
Konkan Coast / Central West Coast,0.5517,0.0747,0.0402,0.0402,0.0862,0.2069,0.0
South-Eastern Arabian Sea EEZ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
