experiment_id,architecture,learning_rate,batch_size,epochs,augmentation,frozen_layers,class_weighting,validation_accuracy,validation_macro_f1,validation_loss,training_time_sec,notes
exp_01_baseline_frozen_resnet18,resnet18_frozen,0.001,32,6,None (Eval transforms),All backbone layers frozen,None,0.8998,0.8712,0.3283,276.3,Baseline model for Phase I comparison
exp_02_finetuned_resnet18_weighted,resnet18_finetuned_layer3_layer4,5e-5 (backbone) / 5e-4 (fc),32,10,"Crop, Flips, Rotations, ColorJitter","conv1, bn1, layer1, layer2 frozen; layer3, layer4 fine-tuned",Inverse-frequency weights,0.9833,0.9777,0.0721,621.7,Final fine-tuned production candidate with class weighting
