,Malabar Upwelling Shelf,Central Arabian Sea Offshore Basin,North Arabian Sea / Gujarat Shelf,Lakshadweep Sea & Ridge,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,South-Eastern Arabian Sea EEZ
Malabar Upwelling Shelf,190,14,8,0,0,0,0
Central Arabian Sea Offshore Basin,0,0,0,0,0,0,0
North Arabian Sea / Gujarat Shelf,31,23,6,6,0,0,0
Lakshadweep Sea & Ridge,57,9,10,56,0,0,0
Wadge Bank / Comorin Sector,66,0,0,0,0,0,0
Konkan Coast / Central West Coast,0,0,0,0,0,0,0
South-Eastern Arabian Sea EEZ,0,0,0,0,0,0,0
