feature,gain,weight,gain_pct
month_cos,14.263138771057129,623.0,23.77
current_lon,11.876052856445312,989.0,19.79
sector_code,5.3498759269714355,169.0,8.91
season_code,4.7861008644104,223.0,7.97
mean_depth_meters,3.7535884380340576,1183.0,6.25
delta_t,3.307912826538086,892.0,5.51
month_sin,3.2776272296905518,418.0,5.46
sst_celsius,2.965498924255371,46.0,4.94
current_lat,2.691457748413086,755.0,4.48
salinity_psu,2.6087992191314697,6.0,4.35
historical_occurrence_rate,2.234504461288452,947.0,3.72
species_code,2.2221477031707764,1607.0,3.7
dissolved_oxygen_mgl,0.6787110567092896,2.0,1.13
chlorophyll_mg_m3,0.0,0.0,0.0
has_environmental_context,0.0,0.0,0.0
