iter	Passed	Remaining
259	2603	1402
260	2614	1392
261	2624	1382
262	2633	1372
263	2643	1361
264	2653	1351
265	2662	1341
266	2671	1330
267	2682	1321
268	2692	1311
269	2701	1300
270	2710	1290
271	2720	1280
272	2729	1269
273	2738	1259
274	2747	1248
275	2756	1238
276	2765	1228
277	2774	1217
278	2783	1207
279	2792	1196
280	2802	1186
281	2811	1176
282	2820	1166
283	2829	1155
284	2838	1145
285	2847	1134
286	2856	1124
287	2864	1114
288	2873	1103
289	2884	1094
290	2894	1084
291	2902	1073
292	2911	1063
293	2920	1052
294	2929	1042
295	2939	1032
296	2948	1022
297	2957	1012
298	2966	1002
299	2975	991
300	2985	981
301	2993	971
302	3003	961
303	3011	951
304	3020	940
305	3028	930
306	3039	920
307	3049	910
308	3058	900
309	3068	890
310	3078	880
311	3086	870
312	3095	860
313	3104	850
314	3113	840
315	3121	829
316	3129	819
317	3139	809
318	3148	799
319	3157	789
320	3166	779
321	3176	769
322	3185	759
323	3194	749
324	3204	739
325	3213	729
326	3223	719
327	3232	709
328	3242	699
329	3251	689
330	3259	679
331	3269	669
332	3278	659
333	3287	649
334	3295	639
335	3305	629
336	3315	619
337	3325	609
338	3335	600
339	3345	590
340	3353	580
341	3363	570
342	3372	560
343	3380	550
344	3390	540
345	3398	530
346	3407	520
347	3416	510
348	3426	500
349	3435	490
350	3443	480
351	3453	470
352	3463	461
353	3471	451
354	3480	441
355	3489	431
356	3498	421
357	3507	411
358	3516	401
359	3525	391
360	3536	382
361	3545	372
362	3554	362
363	3562	352
364	3570	342
365	3581	332
366	3592	323
367	3601	313
368	3611	303
369	3621	293
370	3630	283
371	3640	274
372	3651	264
373	3662	254
374	3670	244
375	3679	234
376	3688	225
377	3697	215
378	3706	205
379	3715	195
380	3724	185
381	3734	175
382	3743	166
383	3754	156
384	3762	146
385	3771	136
386	3781	127
387	3791	117
388	3801	107
389	3809	97
390	3818	87
391	3827	78
392	3837	68
393	3846	58
394	3855	48
395	3865	39
396	3875	29
397	3884	19
398	3892	9
399	3901	0
