iter	RMSE
0	172.478139
1	167.6875985
2	163.3057238
3	159.4317761
4	155.7037358
5	152.3266246
6	149.0713987
7	146.0984545
8	143.4763664
9	141.0098671
10	138.9073952
11	136.7847571
12	134.9002965
13	132.9962493
14	131.3913952
15	129.8635795
16	128.3314915
17	127.1003871
18	125.7746259
19	124.7418848
20	123.7507656
21	122.6808661
22	121.7272522
23	120.8213319
24	120.0030361
25	119.1375927
26	118.4627387
27	117.8132248
28	117.3008516
29	116.7494832
30	116.247173
31	115.6897668
32	115.1491755
33	114.6766233
34	114.266431
35	113.771908
36	113.3788823
37	113.0224546
38	112.6676781
39	112.2505813
40	111.8910696
41	111.5139793
42	111.1977432
43	110.9063122
44	110.6316892
45	110.3620429
46	110.0834452
47	109.7761402
48	109.5735477
49	109.3436297
50	109.1688431
51	108.9349963
52	108.6894511
53	108.4667417
54	108.2548034
55	108.0567381
56	107.8592905
57	107.6845311
58	107.4677073
59	107.2983609
60	107.1215713
61	107.0028631
62	106.8453207
63	106.728675
64	106.5921441
65	106.4532399
66	106.3717703
67	106.2688979
68	106.1268388
69	106.0064076
70	105.8876284
71	105.7746566
72	105.6410424
73	105.5642351
74	105.3981652
75	105.3127888
76	105.1975887
77	105.0614166
78	104.9522823
79	104.6962493
80	104.6408413
81	104.5600719
82	104.4591508
83	104.2742378
84	104.1604714
85	104.0739355
86	104.0139042
87	103.9464925
88	103.9106304
89	103.8151168
90	103.7069277
91	103.6209002
92	103.5191435
93	103.4202914
94	103.3154559
95	103.2219189
96	103.1182245
97	103.036165
98	102.9601327
99	102.8597908
100	102.7376242
101	102.6644276
102	102.5645523
103	102.4817192
104	102.3427432
105	102.2669024
106	102.1852625
107	102.1106941
108	102.0451547
109	101.9553522
110	101.8765186
111	101.8302203
112	101.7673623
113	101.6467377
114	101.6004003
115	101.5722291
116	101.3530151
117	101.2986685
118	101.1899253
119	101.1761459
120	101.1340303
121	101.0706606
122	101.0582814
123	101.0166522
124	100.9720334
125	100.9000913
126	100.8395962
127	100.6396961
128	100.5784644
129	100.4084817
130	100.2706582
131	100.183362
132	100.1225236
133	100.0512418
134	99.98618768
135	99.95506486
136	99.83837659
137	99.75669974
138	99.69077316
139	99.6415435
140	99.56410781
141	99.48807546
142	99.42493162
143	99.34838299
144	99.29479217
145	99.2367319
146	99.15744156
147	99.09965211
148	99.05413604
149	98.97222828
150	98.90879102
151	98.87994297
152	98.83141902
153	98.81589572
154	98.69025324
155	98.65600226
156	98.53954689
157	98.50707068
158	98.46233179
159	98.42847239
160	98.25745432
161	98.22687521
162	98.16772109
163	98.13354214
164	98.07946951
165	98.03870657
166	97.9838827
167	97.928575
168	97.87938174
169	97.81648428
170	97.77418727
171	97.7313636
172	97.69904142
173	97.67024252
174	97.61838219
175	97.54876985
176	97.48631625
177	97.45169887
178	97.39910119
179	97.34411915
180	97.23169752
181	97.18785428
182	97.14909732
183	97.04215245
184	97.0108144
185	96.95498952
186	96.91930668
187	96.88105509
188	96.83457219
189	96.81629274
190	96.73149608
