iter	RMSE
191	96.70429446
192	96.66373864
193	96.61304978
194	96.58413553
195	96.49925167
196	96.45014882
197	96.40412895
198	96.37769216
199	96.32719232
200	96.2706779
201	96.22572033
202	96.18172778
203	96.13429157
204	96.10799757
205	96.08324099
206	95.98736426
207	95.96095265
208	95.92090418
209	95.89432614
210	95.85649189
211	95.82572327
212	95.7614254
213	95.72348081
214	95.68282379
215	95.65570495
216	95.61807925
217	95.57345059
218	95.52839737
219	95.49099852
220	95.44603969
221	95.40867427
222	95.38894324
223	95.35301223
224	95.33239128
225	95.31028772
226	95.29012332
227	95.22836691
228	95.20549841
229	95.13097866
230	95.09718726
231	95.01179203
232	94.9501841
233	94.90148677
234	94.85705353
235	94.82930148
236	94.8082684
237	94.7282647
238	94.70312946
239	94.67142666
240	94.63539813
241	94.6084476
242	94.57617361
243	94.55339803
244	94.53201491
245	94.50051063
246	94.42682824
247	94.38953847
248	94.36979175
249	94.33831204
250	94.29619012
251	94.26365362
252	94.23223934
253	94.21051338
254	94.18786865
255	94.13688431
256	94.12865463
257	94.09853907
258	94.08505803
259	94.06222451
260	94.03186472
261	93.95932753
262	93.93282891
263	93.89866924
264	93.86909095
265	93.85094756
266	93.83385871
267	93.79638894
268	93.75912586
269	93.70859993
270	93.67820692
271	93.60305731
272	93.58765316
273	93.5210043
274	93.48172742
275	93.45115672
276	93.41801679
277	93.39314475
278	93.36437318
279	93.34613908
280	93.33027046
281	93.30846705
282	93.28757217
283	93.2718796
284	93.25102295
285	93.22459248
286	93.20024477
287	93.1684296
288	93.12798535
289	93.06787711
290	93.03461085
291	93.01322844
292	92.93661085
293	92.91734316
294	92.88816764
295	92.84347368
296	92.82046474
297	92.80667941
298	92.78131635
299	92.71328516
300	92.67196748
301	92.65902117
302	92.63221253
303	92.61692574
304	92.58344545
305	92.55943976
306	92.52359706
307	92.46667881
308	92.44498697
309	92.41635881
310	92.39645872
311	92.37647776
312	92.34298922
313	92.32440006
314	92.30131054
315	92.28881525
316	92.26368957
317	92.24516252
318	92.1851709
319	92.12918368
320	92.07920492
321	92.06529882
322	92.04257466
323	92.00413494
324	91.97729458
325	91.94980635
326	91.91676508
327	91.90133666
328	91.86108243
329	91.84380805
330	91.82651714
331	91.79843352
332	91.77830805
333	91.76568816
334	91.70767863
335	91.68744515
336	91.67506221
337	91.64390381
338	91.61527917
339	91.59904335
340	91.57946141
341	91.56316064
342	91.54449891
343	91.52726248
344	91.47217622
345	91.45693385
346	91.43791708
347	91.41259127
348	91.3705026
349	91.35055689
350	91.33449822
351	91.31105206
352	91.28507583
353	91.27028546
354	91.25431641
355	91.23063016
356	91.20884906
357	91.18849805
358	91.16312512
359	91.09707615
360	91.06966852
361	91.04220825
362	91.02552343
363	91.00532058
364	90.98787495
365	90.97481835
366	90.95280238
367	90.93405577
368	90.90135796
369	90.88303644
370	90.87432991
371	90.85459544
372	90.81063052
373	90.79307735
374	90.76694175
375	90.74976235
376	90.72771654
377	90.70805775
378	90.68859172
379	90.67484278
380	90.60123458
381	90.56422896
382	90.55484528
383	90.51764353
384	90.50565562
385	90.48653193
386	90.46524674
387	90.43234692
388	90.4166778
389	90.40190042
390	90.38813808
391	90.37374599
392	90.35560603
393	90.28703003
394	90.27571958
395	90.25984186
396	90.2401323
397	90.2184568
398	90.1986881
399	90.18362217
